,0,1
690,1,0100000022
691,2,0000000022
692,3,0000001022
693,4,0000000022
694,5,0100000222
695,6,0000000222
696,7,0000000222
697,8,0000000222
699,2,2120101101
711,13,2120101100
712,14,2100101000
715,4,2020102101
716,5,2020102101
717,6,2120102101
718,7,2020102101
719,8,2020102101
720,9,2020102101
721,10,2020102101
722,11,2020102101
723,15,0100201001
724,16,0100201001
725,17,0100201001
726,18,0100201001
738,9,1101001000
739,10,1111101001
742,1,2111101000
743,2,2100101000
744,3,1111101001
745,4,2102011000
746,5,2100101000
747,6,2100101000
748,7,2100101000
749,8,1101101001
750,13,2111101000
751,14,2100101000
752,15,1111001001
753,16,1111001011
771,11,1112111111
777,32,1112111021
778,35,1102111200
779,36,1100000000
780,39,1100100000
782,42,1110111221
786,6,1111011221
789,12,1111111211
791,15,1111111111
792,16,1111111111
793,18,1112111121
794,19,1112111121
799,40,1110111221
800,41,1110111221
801,43,1110111221
802,44,1110111221
803,45,1110111221
804,46,1100111221
805,1,1111011221
806,3,1111011201
807,7,1110111221
808,8,1110111221
809,9,1110111121
810,10,1110111121
811,13,1111111211
812,14,1111111211
813,20,0111211001
814,21,0111211001
815,22,1111111101
816,26,1110111021
817,27,1110212021
818,29,1110212021
819,30,2222210021
820,31,2222110000
829,4,1112001001
830,5,0112011221
831,7,2112112221
832,10,2111012221
833,11,2111011221
834,12,2111212221
835,13,2211212221
836,1,2111211221
837,2,2111211221
841,4,1111211221
853,10,0111011221
854,11,0110011221
859,28,2111211111
860,29,1111211101
863,6,0112110211
864,7,0112110211
865,8,0110111211
866,9,0110111211
869,21,0000111111
871,24,0000211121
872,25,0000211121
873,26,0000111121
874,27,0100111121
875,30,1112211200
876,31,1112211221
879,17,0000111111
880,18,0000111111
881,19,0000111111
882,20,0000111111
883,22,0000111121
884,23,0000111121
885,32,0112111221
886,33,0112110221
887,34,2112111221
888,35,2112111201
896,1,2111111101
900,12,2022111221
901,13,2002111221
902,14,0110111221
903,15,0120111221
904,2,1112211101
905,3,0111211101
906,4,0111211221
907,5,0111211221
908,6,0000100021
909,7,0000100021
917,8,0112210201
920,13,0112211201
921,15,1000111221
925,9,0112211201
926,10,0112211201
927,11,0102211221
928,12,0112211201
929,17,1000111221
930,18,1000111221
931,19,1112111221
932,20,1112111221
933,21,1112111221
934,22,1112111221
939,7,1111001201
944,8,1110201201
945,9,1110201201
946,10,1110001201
947,11,2100101001
948,1,1110002211
949,2,1110001211
950,3,1110001211
951,4,2102101000
959,1,1111001011
968,5,1111001011
971,11,1111001011
973,14,1112011011
974,15,1111101011
975,16,1111001011
976,17,1111001011
977,18,1111001011
978,19,1111101011
979,20,2101101001
980,21,1111001011
981,3,1111001011
982,4,1111001011
983,6,1111101011
984,7,1111011011
985,8,1111101011
986,9,1111001011
987,12,1111001011
988,13,1111001011
996,1,2100101000
997,2,0100001000
998,3,2102111000
999,4,2100101020
1000,5,2112111201
1001,6,1112011201
1002,7,2122111221
1003,8,2112111221
1011,1,1112211001
1012,2,1112211001
1013,3,0122211101
1014,4,0122211101
1017,9,2100101000
1018,10,2100101000
1019,5,2100101000
1020,6,2100101000
1021,7,2100101000
1022,8,2100101000
1026,1,2000100000
1032,7,0102212101
1037,4,2202112221
1038,5,0122211221
1039,6,2122111221
1041,10,2212111221
1042,11,0122011221
1043,12,0112011221
1044,13,0110001201
1045,14,0110001201
1046,2,2202112221
1047,3,2202112221
1048,8,2112111221
1049,9,2102111200
1061,12,1222010102
1062,13,1202010002
1063,16,0112011200
1064,19,2112111221
1065,1,0222010100
1066,2,0122011100
1067,3,0112211200
1068,4,0112011200
1069,8,2101101001
1070,9,2111101011
1071,10,1111101011
1072,11,1111201001
1082,5,2100101000
1086,13,2100101000
1087,14,0100001000
1088,1,0000000021
1089,2,0000000021
1090,3,0000000021
1091,4,0000000021
1092,7,2100101001
1093,8,2100001001
1094,9,2100101000
1095,10,2100101000
1096,11,0100001000
1097,12,2100101000
1129,1,2110101021
1130,2,2110101021
1131,3,2110101021
1132,4,2110101021
1133,5,2100101221
1134,6,2100101221
1135,7,2100101221
1136,8,2100101221
1137,9,0112011012
1138,10,0112011012
1139,11,0112011012
1140,12,0112011012
1141,13,0112011012
1142,14,0112011012
1143,15,0112011012
1144,16,0112011012
1145,17,2121101100
1146,18,2111101201
1147,19,0111001221
1148,20,0111001221
1149,21,0122211121
1150,22,0122211121
1151,23,2212112221
1152,24,2212112221
1153,25,2100101000
1154,26,2112111211
1155,27,2112111211
1156,28,2112111211
1157,29,0122211221
1158,30,0122211111
1159,31,1121101111
1160,32,1121001111
1167,22,2100101000
1168,1,2111101221
1169,2,1112211000
1171,5,2100101000
1174,3,0110101001
1175,4,1110001021
1178,11,2112111221
1180,7,1111001201
1181,8,1111001221
1182,9,1111001221
1183,10,1111001221
1184,13,1111001221
1185,14,1111001201
1189,4,0120111100
1193,5,1120111100
1194,7,1120111101
1197,16,2102011221
1199,8,1101001201
1200,9,1111001201
1201,13,0111011101
1202,14,0111011001
1203,18,2102011221
1204,19,2102011221
1212,1,1112001011
1213,2,1112111211
1214,3,0112111211
1215,4,1112111211
1218,9,1111212021
1219,10,1111212121
1220,5,2110211021
1221,6,2110211021
1222,7,2110211021
1223,8,2110211021
1233,5,2122211021
1234,6,2202011221
1235,7,0112210021
1236,8,0112211021
1237,9,0100011021
1238,10,0112011021
1239,1,0201000201
1240,2,0101000000
1241,3,0201010201
1242,4,0201010201
1250,9,2121212001
1251,10,2121212001
1252,11,2121211201
1253,12,2121211201
1254,13,2122111221
1255,14,2122111221
1256,15,2122111221
1257,16,2122111221
1261,4,1111111111
1265,5,1111111111
1266,6,1111111111
1268,10,1111111111
1271,7,1111111001
1272,8,1111111111
1274,16,2111111111
1276,21,2111111111
1277,14,2111111111
1278,15,2111111111
1279,18,2111111111
1280,19,2111111111
1291,15,0122012201
1292,16,0122012000
1296,9,2112012221
1297,10,2112012221
1298,11,2112212221
1299,12,2112212221
1300,13,1122012001
1301,14,1122012001
1302,17,0122012000
1303,18,0122012000
1304,19,2112212211
1305,20,2112212211
1306,21,2112202201
1307,22,2112212211
1311,3,1111111011
1312,4,1111111111
1314,7,2111111121
1315,5,2111111211
1316,6,2111111211
1320,1,1111111111
1321,2,1111111111
1322,10,1111111111
1323,11,1111111001
1327,1,0111111111
1333,7,2112211201
1334,8,2112111121
1335,9,2110011000
1336,10,2110011000
1337,3,1110111101
1338,4,1111211101
1339,5,1111111101
1340,6,1111111101
1358,5,0000010021
1359,6,0000010021
1360,13,0112211221
1361,14,0112211221
1362,15,0112212221
1363,16,0112212221
1372,1,0000000221
1373,2,0000000221
1374,3,0000000221
1375,4,0000000221
1376,17,2112011221
1377,18,2112011221
1378,19,2112011221
1379,20,2112011221
1380,21,2112011221
1381,22,2112011221
1382,23,2112011221
1383,24,2112011221
1384,25,2112210000
1385,26,2112000201
1386,27,2112211201
1387,28,2112211201
1388,29,2000212000
1389,30,2000212000
1390,31,2000212021
1391,32,2000212021
1399,1,0222000000
1400,2,0222000000
1401,3,0222000000
1402,4,0222000000
1403,5,0112000000
1404,6,0112000000
1405,7,0122000000
1406,8,0122000000
1414,1,0122210221
1415,2,0122210221
1416,3,0212210221
1417,4,0212210221
1432,9,2102000000
1433,12,2202000000
1436,17,2102210101
1438,21,2100001201
1439,22,2100001201
1440,23,0100001201
1441,24,1100001201
1444,29,2100002001
1445,30,2100002001
1446,5,2102120202
1447,6,2102120202
1448,7,2102120202
1449,8,2102120202
1450,13,2102212202
1451,14,2102212202
1452,15,2102212101
1453,16,2102212101
1454,19,2102210101
1455,20,2102210101
1456,25,2100002001
1457,26,2100002001
1458,27,2100002001
1459,28,2100002001
1461,1,2112211101
