,Unnamed: 0,Node Name,Level,Type
415,415,8_0100001012,3,L
416,416,9_0100001012,3,L
419,419,14_0100001000,3,L
420,420,15_0100001000,3,L
421,421,4_0201000021,4,L
422,422,5_0201000021,4,L
423,423,6_0201000021,4,L
424,424,7_0201000021,4,L
425,425,10_0102111000,4,L
426,426,11_0121201121,4,L
427,427,12_0121201121,4,L
428,428,13_0121201121,4,L
443,443,20_1112011221,3,L
448,448,9_2112211221,4,L
450,450,12_2112111201,4,L
451,451,13_2112111201,4,L
452,452,14_1110001221,4,L
453,453,15_1110001221,4,L
454,454,16_1110001201,4,L
455,455,17_1100001001,4,L
456,456,18_1112111221,4,L
457,457,19_2102111000,4,L
458,458,1_2122111121,5,L
459,459,2_2122111121,5,L
460,460,3_2102111201,5,L
461,461,4_2122111121,5,L
462,462,5_2112111201,5,L
463,463,6_2112111201,5,L
464,464,7_2112111201,5,L
465,465,8_2112111201,5,L
466,466,10_2112111221,5,L
467,467,11_2112111221,5,L
471,471,1_2100101000,2,L
479,479,21_1111001011,3,L
486,486,16_2100101000,4,L
491,491,6_1111101020,5,L
492,492,7_1111001021,5,L
493,493,8_1101001000,5,L
494,494,9_2101111000,5,L
495,495,10_1112111002,5,L
496,496,11_2100001000,5,L
497,497,12_1112011001,5,L
498,498,13_2102111000,5,L
499,499,14_1212011021,5,L
500,500,15_1211101021,5,L
501,501,17_0112211021,5,L
502,502,18_0112011021,5,L
503,503,19_2100101221,5,L
504,504,20_1100201221,5,L
505,505,23_1111001000,5,L
506,506,24_1111101011,5,L
507,507,25_1111001011,5,L
508,508,26_1111001011,5,L
510,510,1_2100101000,1,L
514,514,5_2102111021,3,L
515,515,6_2112111021,3,L
516,516,7_2212110021,3,L
518,518,8_2212110021,4,L
519,519,9_2212110021,4,L
525,525,10_0102011000,2,L
527,527,1_2100101000,3,L
528,528,2_2100101000,3,L
529,529,3_1101001100,3,L
530,530,4_2100101000,3,L
531,531,11_1112011021,3,L
532,532,12_1112011021,3,L
536,536,1_2100101000,2,L
542,542,7_0001200200,3,L
543,543,8_0001200200,3,L
544,544,9_0011200200,3,L
545,545,10_0011200200,3,L
546,546,3_2120101100,4,L
547,547,4_2120101100,4,L
548,548,5_2120101120,4,L
549,549,6_2120101121,4,L
557,557,1_0220002121,3,L
558,558,2_0220002121,3,L
559,559,3_0220002121,3,L
560,560,4_0220002121,3,L
561,561,5_2100101000,3,L
562,562,6_2100101000,3,L
565,565,7_0102211221,4,L
566,566,8_0102211220,4,L
567,567,9_0122211121,4,L
568,568,10_0122211121,4,L
571,571,9_0200000021,1,L
578,578,1_2101101201,4,L
579,579,2_0121201121,4,L
580,580,3_2102111000,4,L
581,581,4_2102101000,4,L
582,582,5_2100111000,4,L
583,583,6_0100001000,4,L
584,584,7_2100101001,4,L
585,585,8_2100101001,4,L
591,591,9_1122011111,2,L
597,597,10_1122011111,3,L
598,598,11_1122011111,3,L
599,599,1_2102111221,4,L
600,600,2_2102111211,4,L
601,601,3_2102111011,4,L
602,602,4_2102111011,4,L
603,603,5_1110001221,4,L
604,604,6_1110001221,4,L
605,605,7_1111201221,4,L
606,606,8_1111201221,4,L
618,618,14_1100001000,3,L
622,622,1_2101001000,4,L
623,623,2_1111001000,4,L
627,627,9_0102211000,4,L
630,630,15_1112011021,4,L
631,631,16_0102011021,4,L
632,632,17_2102111000,4,L
633,633,18_1111001010,4,L
634,634,19_1110201021,4,L
635,635,20_1102011221,4,L
636,636,3_2102101000,5,L
637,637,4_2111101021,5,L
638,638,5_1112011020,5,L
639,639,6_2102111221,5,L
640,640,7_1102211001,5,L
641,641,8_1112211200,5,L
642,642,10_1101001201,5,L
643,643,11_1111001201,5,L
644,644,12_2100101020,5,L
645,645,13_2011102221,5,L
659,659,14_1110001211,3,L
661,661,1_0111001211,4,L
662,662,2_0111001211,4,L
663,663,3_0112011000,4,L
664,664,4_2102011000,4,L
665,665,5_1111001201,4,L
666,666,6_1111001201,4,L
667,667,7_1111001201,4,L
668,668,8_1111001201,4,L
669,669,9_1110201001,4,L
670,670,10_1111201001,4,L
671,671,11_0112211001,4,L
672,672,12_0101201001,4,L
673,673,15_0111001211,4,L
674,674,16_2100101000,4,L
686,686,9_1101001011,3,L
687,687,10_1111001011,3,L
688,688,11_1111101011,3,L
689,689,12_1111001011,3,L
690,690,1_0100000022,4,L
691,691,2_0000000022,4,L
692,692,3_0000001022,4,L
693,693,4_0000000022,4,L
694,694,5_0100000222,4,L
695,695,6_0000000222,4,L
696,696,7_0000000222,4,L
697,697,8_0000000222,4,L
699,699,2_2120101101,1,L
711,711,13_2120101100,4,L
712,712,14_2100101000,4,L
715,715,4_2020102101,5,L
716,716,5_2020102101,5,L
717,717,6_2120102101,5,L
718,718,7_2020102101,5,L
719,719,8_2020102101,5,L
720,720,9_2020102101,5,L
721,721,10_2020102101,5,L
722,722,11_2020102101,5,L
723,723,15_0100201001,5,L
724,724,16_0100201001,5,L
725,725,17_0100201001,5,L
726,726,18_0100201001,5,L
738,738,9_1101001000,3,L
739,739,10_1111101001,3,L
742,742,1_2111101000,4,L
743,743,2_2100101000,4,L
744,744,3_1111101001,4,L
745,745,4_2102011000,4,L
746,746,5_2100101000,4,L
747,747,6_2100101000,4,L
748,748,7_2100101000,4,L
749,749,8_1101101001,4,L
750,750,13_2111101000,4,L
751,751,14_2100101000,4,L
752,752,15_1111001001,4,L
753,753,16_1111001011,4,L
771,771,11_1112111111,4,L
777,777,32_1112111021,4,L
778,778,35_1102111200,4,L
779,779,36_1100000000,4,L
780,780,39_1100100000,4,L
782,782,42_1110111221,4,L
786,786,6_1111011221,5,L
789,789,12_1111111211,5,L
791,791,15_1111111111,5,L
792,792,16_1111111111,5,L
793,793,18_1112111121,5,L
794,794,19_1112111121,5,L
799,799,40_1110111221,5,L
800,800,41_1110111221,5,L
801,801,43_1110111221,5,L
802,802,44_1110111221,5,L
803,803,45_1110111221,5,L
804,804,46_1100111221,5,L
805,805,1_1111011221,6,L
806,806,3_1111011201,6,L
807,807,7_1110111221,6,L
808,808,8_1110111221,6,L
809,809,9_1110111121,6,L
810,810,10_1110111121,6,L
811,811,13_1111111211,6,L
812,812,14_1111111211,6,L
813,813,20_0111211001,6,L
814,814,21_0111211001,6,L
815,815,22_1111111101,6,L
816,816,26_1110111021,6,L
817,817,27_1110212021,6,L
818,818,29_1110212021,6,L
819,819,30_2222210021,6,L
820,820,31_2222110000,6,L
829,829,4_1112001001,3,L
830,830,5_0112011221,3,L
831,831,7_2112112221,3,L
832,832,10_2111012221,3,L
833,833,11_2111011221,3,L
834,834,12_2111212221,3,L
835,835,13_2211212221,3,L
836,836,1_2111211221,4,L
837,837,2_2111211221,4,L
841,841,4_1111211221,2,L
853,853,10_0111011221,4,L
854,854,11_0110011221,4,L
859,859,28_2111211111,4,L
860,860,29_1111211101,4,L
863,863,6_0112110211,5,L
864,864,7_0112110211,5,L
